gene,uni_marker_gene,cv_values
b2761,b2761,0.0861164346857199
b2257,b2257,0.0690963947922021
b3135,b3135,0.0574197779609317
b1094,b1094,0.0457948491968889
b2140,b2895,0.0416241094013324
b0042,b1187,0.0445630530279996
b3943,b3943,0.0756244110453069
b0260,b0260,0.105316886962886
b4141,b4141,0.0509984978427125
b0722,b0724,0.107504336974753
b2023,b2023,0.106010286252174
b1158,b2699,0.0904916992564461
b1609,b2218,0.043644278176416
b3422,b2709,0.0421054902464237
b3169,b2291,0.0415422453147199
b1286,b1844,0.0442041088807822
b0051,b0051,0.0444283774152654
b3996,b3996,0.0690250442309205
b0238,b1813,0.0398464631008616
b4390,b3423,0.0440289930499956
b2699,b2699,0.0904916992564461
b3635,b0714,0.0431368142609513
b2614,b2614,0.0656149364211436
b1278,b1278,0.0924107823457319
b1719,b3296,0.0758554413978137
b0415,b0415,0.0624443029257653
b0368,b0368,0.069227604749836
b1618,b0846,0.0432663332594504
b1399,b1399,0.0791449344491422
b3906,b2382,0.0430429783973977
b3461,b3461,0.077955306566524
b3842,b4260,0.055049816216988
b1735,b1735,0.0704173835067855
b4124,b4124,0.0583500051884787
b1823,b2011,0.0520148207977049
b3181,b3181,0.0922331902297017
b0694,b0694,0.0512016490066909
b2217,b2697,0.0644846282002939
b0487,b0487,0.0919838927011505
b3753,b3753,0.0590646217815372
b3451,b3451,0.0664106274546247
b0178,b3200,0.0678441072926457
b4208,b4208,0.0718496212815927
b1045,b1045,0.0769908791139191
b2143,b2143,0.103647204066719
b3064,b2821,0.0495457289441308
b0174,b0174,0.0831783259404395
b4258,b0481,0.0417635152725545
b1787,b1787,0.0616910324002606
b2517,b2517,0.0559176459753155
b2575,b1844,0.0442041088807822
b3292,b2184,0.0372385995216239
b4052,b3813,0.0474048112167254
b2916,b1237,0.0766418463037611
b1184,b1114,0.0404518550762541
b0687,b0687,0.0742270788421557
b2186,b0051,0.0444283774152654
b1637,b2581,0.0417397010056137
b1343,b3162,0.078589113655208
b3282,b3282,0.0558728907483916
b4532,b0051,0.0444283774152654
b0118,b1276,0.0779345928145827
b1480,b3986,0.0512884348584993
b1718,b1718,0.0486917813049896
b3980,b3339,0.036843390589445
b0441,b0525,0.0505929001695206
b0604,b2893,0.0498968109422503
b2102,b2102,0.047615309085706
b3132,b2304,0.041427649794968
b0628,b0628,0.0643991087501563
b1218,b1218,0.0708787817840691
b3447,b3447,0.0641614896544524
b3018,b3018,0.0434060729025132
b1014,b1014,0.0823369324721824
b3432,b3432,0.0642854760455863
b0142,b0142,0.0777305124453426
b2601,b1704,0.0701188410469777
b1727,b1727,0.0617384186047701
b1693,b1693,0.0757108545879959
b3389,b3389,0.0683276237685896
b3846,b1395,0.07151601650458
b1800,b1800,0.0804778271017691
b1302,b1302,0.0867130707336527
b1723,b3916,0.0563555388803929
b2585,b2585,0.0556820172776153
b2780,b2780,0.0722439676226581
b1961,b1961,0.0591071053453778
b1183,b4190,0.0481417350341452
b3066,b3066,0.060373578075754
b3202,b3202,0.0535936650521706
b0708,b0708,0.0694443797542686
b2068,b3549,0.0390310609633677
b2213,b1335,0.0989439396755288
b3421,b3421,0.063960504149511
b3647,b2411,0.0559681055655784
b3283,b3019,0.0390292237180057
b3030,b3019,0.0390292237180057
b0025,b0025,0.0526761493704915
b0104,b0104,0.0757779851032971
b2507,b2507,0.109344035213057
b3168,b3339,0.036843390589445
b1277,b1277,0.0612812802702964
b2508,b2508,0.101790993863808
b3117,b1814,0.0752156179556188
b2319,b2319,0.0966850632257938
b2024,b2024,0.0745729697960175
b2615,b3916,0.0563555388803929
b1740,b1740,0.0672544261514399
b1872,b0947,0.0479455851282942
b0046,b3351,0.0522747364247561
b3962,b3962,0.0880923586414837
b2764,b0662,0.0451169120967637
b1650,b2794,0.0653125027287289
b4051,b4051,0.0950095507472325
b3939,b3939,0.077740815374285
b4475,b4475,0.106041116810122
b3730,b3730,0.109258264989023
b2028,b3787,0.0598501581811827
b2042,b1236,0.0953037704993208
b0078,b3671,0.0869193325134417
b2844,b2342,0.0718575283559174
b0185,b0185,0.0612208742024911
b0980,b0980,0.0823233616125626
b0968,b0968,0.0631041809159316
b0469,b0469,0.100016784490165
b4095,b1623,0.0797275604534479
b2822,b1860,0.0484505075015824
b0148,b2184,0.0372385995216239
b0120,b0120,0.108382038007748
b0774,b0774,0.0831911320514612
b0607,b0474,0.096250713288739
b4177,b4177,0.0727531281523135
b2379,b2379,0.0534263686164533
b1241,b2453,0.0750534029315825
b0356,b0356,0.0890293154816849
b1746,b1525,0.0644795397652564
b1300,b1300,0.0696698833474315
b2834,b2834,0.0476328677038575
b3879,b2544,0.0499503437001575
b0383,b0383,0.0693232201031893
b3570,b1326,0.0721945989706726
b1204,b0191,0.0598009656431605
b2905,b2905,0.0937163519659941
b1263,b3360,0.0626291790668163
b1463,b1463,0.0639818029499658
b3801,b3801,0.080063766233402
b0674,b3744,0.0691073092228326
b2957,b1767,0.0597675407970833
b0131,b0131,0.0573605014844687
b4024,b0695,0.0631750131828822
b3256,b3256,0.109778851753389
b3973,b3973,0.08122355404348
b3770,b1096,0.0575008266656303
b0339,b0126,0.104409004380458
b3665,b3942,0.0678218188341712
b2329,b2329,0.101209413698764
b3867,b2436,0.0513173237228126
b3056,b3056,0.0437830728057041
b0147,b0147,0.0587483318649306
b3032,b3032,0.0526611641216135
b3591,b3591,0.0650000228561608
b0910,b0910,0.0976712188975798
b0430,b0432,0.101339608504286
b3518,b3518,0.0864239525816988
b3431,b3431,0.0636146487653584
b3416,b3416,0.0782798099793601
b4381,b4381,0.0842117539224618
b0103,b0103,0.0495213438163093
b1593,b1593,0.0847817996100322
b4042,b4042,0.0408863370251062
b1584,b1584,0.0813922948612173
b1606,b0048,0.0593412926317899
b0116,b0116,0.0743895010409961
b0727,b0727,0.0976761687533917
b3058,b3058,0.046072669495773
b2147,b1628,0.0700610501559448
b0578,b0578,0.0673245935911785
b3177,b3177,0.0810105352354564
b2146,b2147,0.088747031645449
b3771,b3771,0.0687947659934093
b0421,b0421,0.0907105659031313
b2251,b2251,0.0868641824407193
b0043,b0043,0.074657987454612
b3424,b2568,0.0394775273281152
b0955,b0438,0.0537595510052317
b3898,b0932,0.0533127410197733
b1192,b1192,0.0540460361102648
b3396,b3396,0.0531864103886777
b2717,b2717,0.0623882012987066
b4043,b3234,0.0364795471441631
b1387,b1393,0.0658361615174434
b2502,b2744,0.0860059554495961
b1092,b1092,0.0809194460863802
b1091,b2323,0.0716301986489042
b1093,b1093,0.109211669704304
b1288,b1288,0.0576428855026147
b3924,b3924,0.0939654110313945
b0475,b0475,0.0506532111823675
b2315,b2315,0.0642229630016429
b2925,b2925,0.0827899416569086
b1611,b1612,0.0966018355223048
b0758,b0757,0.0708309243376168
b2388,b2388,0.0589999809096597
b3718,b0678,0.069218784427919
b1852,b1852,0.0773391684553705
b4025,b4025,0.0742216384959117
b0242,b0242,0.0881322464381732
b0243,b0243,0.0769231126566079
b3870,b1297,0.0936506919363565
b0581,b0444,0.0407629374202666
b1524,b1524,0.0511678383395453
b3500,b3500,0.0755913554697476
b2947,b2947,0.0654052893248872
b3229,b3592,0.04670510193979
b1779,b1779,0.0512525945540246
b3059,b4041,0.0503742651826908
b3608,b3608,0.0526302904257604
b1200,b1199,0.0734351256835555
b3429,b3429,0.0774998133243444
b2903,b2903,0.0935952321524218
b3648,b3648,0.0599464538761571
b3783,b4052,0.0582449563631376
b0394,b0394,0.050777593230113
b3940,b3940,0.0655115758084897
b0927,b0927,0.0592860257594649
b3805,b3805,0.0619057263103168
b4226,b4226,0.0733447976014739
b2889,b2889,0.0965461701387071
b0307,b0308,0.0860807773249006
b1651,b1651,0.061732998075235
b2463,b1479,0.106877095871606
b2976,b2976,0.098955899092139
b2049,b2049,0.0734887879011355
b1613,b1613,0.0778408856555261
b0529,b0529,0.0743617801904577
b3288,b3288,0.0756536268010551
