term_id	marker_gene	cv_values
GO:0000035	b1094	0.0457948491968889
GO:0000036	b1094	0.0457948491968889
GO:0000049	b3056	0.0437830728057041
GO:0000062	b1187	0.0445630530279996
GO:0000155	b2218	0.043644278176416
GO:0000156	b2709	0.0421054902464237
GO:0000166	b2291	0.0415422453147199
GO:0000179	b0051	0.0444283774152654
GO:0000287	b1813	0.0398464631008616
GO:0000703	b0714	0.0431368142609513
GO:0000976	b0846	0.0432663332594504
GO:0000986	b3423	0.0440289930499956
GO:0000987	b2382	0.0430429783973977
GO:0002161	b0481	0.0417635152725545
GO:0003676	b1844	0.0442041088807822
GO:0003677	b2184	0.0372385995216239
GO:0003678	b3813	0.0474048112167254
GO:0003684	b1114	0.0404518550762541
GO:0003690	b0051	0.0444283774152654
GO:0003700	b3010	0.0401325644647335
GO:0003723	b2581	0.0417397010056137
GO:0003729	b0051	0.0444283774152654
GO:0003743	b1718	0.0486917813049896
GO:0003746	b3339	0.036843390589445
GO:0003756	b2893	0.0498968109422503
GO:0003796	b2102	0.047615309085706
GO:0003824	b2304	0.041427649794968
GO:0003841	b3018	0.0434060729025132
GO:0003906	b0714	0.0431368142609513
GO:0003916	b3019	0.0390292237180057
GO:0003918	b3019	0.0390292237180057
GO:0003924	b3339	0.036843390589445
GO:0004003	b1860	0.0484505075015824
GO:0004004	b2184	0.0372385995216239
GO:0004033	b2834	0.0476328677038575
GO:0004034	b2544	0.0499503437001575
GO:0004112	b3056	0.0437830728057041
GO:0004140	b0103	0.0495213438163093
GO:0004143	b4042	0.0408863370251062
GO:0004150	b3058	0.046072669495773
GO:0004175	b2568	0.0394775273281152
GO:0004222	b2821	0.0495457289441308
GO:0004252	b3234	0.0364795471441631
GO:0004364	b3592	0.04670510193979
GO:0004497	b0662	0.0451169120967637
GO:0004514	b0109	0.0492680932760629
GO:0004518	b2268	0.0454596256296063
GO:0004519	b2831	0.0484515260997364
GO:0004532	b2268	0.0454596256296063
GO:0004536	b4378	0.0484269724949863
GO:0004540	b1804	0.0493048216262868
GO:0004553	b3147	0.0477628634950571
GO:0004586	b2965	0.047123538272135
GO:0004590	b4196	0.0417389389228088
GO:0004596	b3550	0.0415174231238703
GO:0004609	b4160	0.0465530686934502
GO:0004620	b0494	0.0448916634745682
GO:0004622	b3825	0.0448138446627563
GO:0004647	b4388	0.0479221803346974
GO:0004659	b3187	0.0483527697636018
GO:0004719	b2743	0.0467318898046332
GO:0004721	b3404	0.0477831745373624
GO:0004735	b0386	0.0410592529662651
GO:0004756	b1764	0.0467948312237862
GO:0004792	b2668	0.0480726137507652
GO:0004799	b2827	0.0489070100170775
GO:0004806	b4190	0.0481417350341452
GO:0004810	b3056	0.0437830728057041
GO:0004818	b2400	0.0453624959268914
GO:0004823	b0642	0.0451353208312414
GO:0004852	b3804	0.0463312621332809
GO:0004857	b3204	0.0447846498717143
GO:0004871	b3529	0.0498224980151606
GO:0005247	b0155	0.0415921756683941
GO:0005267	b3849	0.0449157790255047
GO:0005515	b3339	0.036843390589445
GO:0005524	b2184	0.0372385995216239
GO:0005525	b3339	0.036843390589445
GO:0005543	b3192	0.0458915613308808
GO:0005548	b3191	0.0451987779287547
GO:0008026	b1114	0.0404518550762541
GO:0008094	b4389	0.0408700475611585
GO:0008106	b0493	0.0421418175575168
GO:0008126	b0476	0.0485779878014748
GO:0008127	b3439	0.0468743817835666
GO:0008144	b0149	0.0434720658298682
GO:0008198	b1128	0.0457238937849552
GO:0008233	b3234	0.0364795471441631
GO:0008236	b4190	0.0481417350341452
GO:0008237	b2472	0.0420484542835586
GO:0008252	b2291	0.0415422453147199
GO:0008270	b0200	0.0401841271010398
GO:0008408	b1844	0.0442041088807822
GO:0008422	b2901	0.0456400923145189
GO:0008425	b2232	0.0473760615416884
GO:0008428	b3929	0.0498990522541638
GO:0008460	b3788	0.0491792200793261
GO:0008559	b0449	0.0482406930448806
GO:0008641	b2812	0.0383493352846142
GO:0008658	b0149	0.0434720658298682
GO:0008682	b0662	0.0451169120967637
GO:0008689	b2232	0.0473760615416884
GO:0008706	b2901	0.0456400923145189
GO:0008716	b0381	0.0481127918170893
GO:0008725	b3549	0.0390310609633677
GO:0008745	b2435	0.0472390385230131
GO:0008757	b2232	0.0473760615416884
GO:0008779	b2836	0.0430477076543461
GO:0008781	b3198	0.0453333544454145
GO:0008782	b0159	0.046152334686234
GO:0008789	b3091	0.046153231126525
GO:0008794	b2495	0.0368856875274702
GO:0008851	b2440	0.0477562093537782
GO:0008872	b2787	0.0463823505791236
GO:0008913	b1054	0.0425441977859493
GO:0008914	b0885	0.0453861367666677
GO:0008922	b2836	0.0430477076543461
GO:0008930	b0159	0.046152334686234
GO:0008955	b0149	0.0434720658298682
GO:0008962	b0418	0.0426014665306704
GO:0008982	b3204	0.0447846498717143
GO:0009002	b0149	0.0434720658298682
GO:0009014	b2472	0.0420484542835586
GO:0009055	b2895	0.0416241094013324
GO:0009378	b1860	0.0484505075015824
GO:0009392	b0867	0.0489339297855838
GO:0010181	b2895	0.0416241094013324
GO:0015035	b3781	0.0414037651275052
GO:0015036	b2195	0.0439110707567087
GO:0015075	b0491	0.0465173903865079
GO:0015086	b3915	0.0396498327551522
GO:0015093	b3915	0.0396498327551522
GO:0015179	b0402	0.0419863443117003
GO:0015197	b1294	0.0439629480812198
GO:0015297	b0402	0.0419863443117003
GO:0015299	b0155	0.0415921756683941
GO:0015307	b2076	0.0470678308504686
GO:0015341	b3915	0.0396498327551522
GO:0015388	b3849	0.0449157790255047
GO:0015616	b1114	0.0404518550762541
GO:0015623	b0151	0.0497924565010949
GO:0015643	b2568	0.0394775273281152
GO:0015648	b1069	0.0448248590198982
GO:0015926	b2901	0.0456400923145189
GO:0016151	b0659	0.04986754687931
GO:0016290	b0494	0.0448916634745682
GO:0016301	b3204	0.0447846498717143
GO:0016410	b0657	0.0490622271792006
